komnr,2020,2021
3001,350627,399288
3002,619474,676305
3003,687812,776522
3004,917942,1037080
3005,847145,946872
3006,275197,304605
3007,344606,372809
3011,53310,60176
3012,15247,20746
3013,25288,26255
3014,454722,537911
3015,26379,28532
3016,115633,133290
3017,84128,97674
3018,44908,43198
3019,117064,123133
3020,491815,560235
3021,144623,160897
3022,147851,169720
3023,135708,141284
3024,1122302,1259255
3025,909451,1024473
3026,128070,143759
3027,152932,156686
3028,74204,81743
3029,297582,334198
3030,691282,741119
3031,184071,194843
3032,61032,68487
3033,256257,277692
3034,213587,240869
3035,240923,274493
3036,91595,113092
3037,27975,32496
3038,76939,83632
3039,11210,12946
3040,95438,114076
3041,79471,80468
3042,33090,39163
3043,63403,73090
3044,68537,66758
3045,38603,41385
3046,21257,22856
3047,157340,168485
3048,165750,193304
3049,293259,340634
3050,32183,40162
3051,27618,32786
3052,20790,31302
3053,50240,56539
3054,85828,87846
0301,4409853,5207949
3401,210237,258187
3403,469095,546945
3405,334656,353767
3407,416319,475834
3411,414492,457623
3412,68006,73821
3413,334462,370715
3414,81805,90361
3415,107456,122096
3416,154411,169101
3417,76188,87848
3418,131941,146896
3419,59999,59510
3420,212535,237178
3421,129089,140831
3422,55658,60454
3423,29271,33184
3424,21542,24293
3425,15991,24751
3426,12484,13241
3427,51158,54094
3428,42112,43215
3429,26179,31398
3430,28881,32065
3431,25668,24460
3432,23724,29499
3433,29001,30622
3434,32219,34966
3435,50360,56083
3436,60839,73239
3437,88019,92870
3438,34507,35045
3439,84846,93900
3440,53405,62459
3441,68959,74020
3442,177445,169538
3443,180859,197913
3446,160789,178803
3447,111869,137761
3448,94718,103858
3449,55854,62789
3450,16130,17037
3451,119806,136447
3452,29649,31949
3453,35781,43694
3454,25888,30071
3801,282805,313460
3802,267550,297347
3803,655594,735672
3804,784860,858169
3805,431110,484683
3806,413211,461734
3807,609491,690132
3808,208467,234627
3811,271198,330226
3812,11273,11126
3813,185909,215314
3814,171499,196988
3815,56808,56018
3816,114474,121731
3817,132241,153606
3818,85190,92928
3819,21354,21836
3820,31080,34387
3821,30903,34928
3822,26810,29091
3823,14419,16594
3824,39249,42545
3825,68231,78699
4201,112833,124210
4202,289846,313847
4203,444100,507867
4204,1012422,1181548
4205,297432,333645
4206,167404,188920
4207,154624,163264
4211,47604,52852
4212,25150,24694
4213,101818,113729
4214,64062,69331
4215,158517,180188
4216,45640,48738
4217,24981,30466
4218,16372,18103
4219,37585,42235
4220,19978,21720
4221,16077,18930
4222,5596,6511
4223,168102,191288
4224,12829,14534
4225,162770,152634
4226,18226,22605
4227,110436,129503
4228,11371,29774
1101,231920,267417
1103,1134922,1273603
1106,339389,383072
1108,580425,633635
1111,43442,47414
1112,18264,21821
1114,18980,26810
1119,180974,194433
1120,178420,187376
1121,188457,205503
1122,126696,139431
1124,186201,202484
1127,119656,137175
1130,142412,161211
1133,13265,14327
