komnr,2016,2017,2018,2019,2020,2021
4615,56.0,53.0,34.0,44.0,34.0,53.0
1853,,,,39.0,5.0,23.0
1881.0,14.0,20.0,66.0,23.0,10.0,7.0
5025,71.0,61.0,97.0,86.0,66.0,81.0
0301,287.0,281.0,230.0,1938.0,2674.0,2620.0
5038,,,,,,
4223,,,95.0,138.0,112.0,81.0
4219,63.0,88.0,105.0,165.0,165.0,166.0
5420,15.0,17.0,28.0,22.0,51.0,87.0
1127,126.0,134.0,122.0,138.0,178.0,404.0
5035,,,18.0,353.0,739.0,151.0
5424,,,,,11.0,23.0
5032,38.0,53.0,39.0,63.0,50.0,32.0
4646,42.0,32.0,13.0,24.0,40.0,48.0
3021,72.0,72.0,118.0,100.0,66.0,52.0
5036,,,,,,
3440,118.0,68.0,69.0,98.0,126.0,144.0
4636,8.0,0.0,4.0,1.0,0.0,0.0
4651,,,,,419.0,108.0
3801,285.0,183.0,207.0,286.0,186.0,135.0
5433,6.0,5.0,15.0,16.0,17.0,12.0
4634,26.0,16.0,18.0,6.0,25.0,15.0
3022,,,14.0,288.0,288.0,12.0
5028,115.0,82.0,116.0,198.0,154.0,156.0
4639,0.0,0.0,0.0,0.0,1.0,8.0
4629,0.0,0.0,0.0,0.0,1.0,0.0
5020,3.0,6.0,2.0,4.0,5.0,7.0
5059,,,,,,2.0
1149,1487.0,1687.0,2808.0,2408.0,2555.0,2546.0
4633,,,,,1.0,3.0
4204,,,,,967.0,1098.0
4216,,43.0,82.0,167.0,128.0,161.0
3046,,,,,15.0,10.0
5415,,,19.0,24.0,26.0,39.0
3823,,,,,,0.0
3029,0.0,0.0,0.0,74.0,80.0,203.0
5047,,,,,,
9990.0,,,,,14.0,9.0
3807,,,,,763.0,650.0
3411,,,,,121.0,281.0
5402,687.0,666.0,877.0,682.0,1071.0,1745.0
3448,,,,134.0,221.0,184.0
3420,,,,,556.0,546.0
3820,,,,,14.0,16.0
5434,,,73.0,45.0,34.0,69.0
