komnr,2015,2016,2017,2018,2019,2020,2021
3021,69.0,66.0,68.0,67.0,74.0,73.0,68.0
3022,63.0,62.0,69.0,76.0,84.0,91.0,90.0
3023,40.0,35.0,43.0,37.0,45.0,61.0,69.0
3024,826.0,872.0,870.0,938.0,993.0,988.0,945.0
3025,491.0,522.0,538.0,550.0,548.0,579.0,565.0
3026,44.0,54.0,55.0,63.0,70.0,84.0,89.0
3027,61.0,69.0,66.0,84.0,99.0,99.0,96.0
3028,42.0,58.0,60.0,59.0,58.0,62.0,62.0
3029,129.0,134.0,153.0,170.0,176.0,201.0,232.0
3030,340.0,372.0,397.0,423.0,423.0,446.0,504.0
3031,107.0,108.0,107.0,107.0,104.0,115.0,114.0
3032,23.0,23.0,32.0,23.0,23.0,30.0,26.0
3033,117.0,122.0,134.0,137.0,150.0,150.0,169.0
3034,164.0,172.0,168.0,158.0,158.0,156.0,146.0
3035,144.0,144.0,141.0,138.0,192.0,207.0,214.0
3036,73.0,68.0,81.0,85.0,87.0,88.0,89.0
3037,20.0,19.0,23.0,20.0,26.0,25.0,28.0
3038,37.0,35.0,37.0,41.0,39.0,39.0,48.0
3039,6.0,,,,,,
3040,57.0,64.0,52.0,51.0,61.0,66.0,64.0
3041,40.0,44.0,42.0,44.0,39.0,42.0,40.0
3042,9.0,11.0,11.0,17.0,15.0,10.0,10.0
3043,33.0,34.0,35.0,32.0,38.0,38.0,40.0
3044,47.0,41.0,43.0,39.0,38.0,39.0,29.0
3045,14.0,14.0,13.0,11.0,11.0,14.0,16.0
3046,10.0,13.0,16.0,18.0,20.0,16.0,15.0
3047,109.0,119.0,126.0,115.0,123.0,124.0,133.0
3048,160.0,153.0,148.0,132.0,128.0,131.0,140.0
3049,172.0,183.0,200.0,200.0,198.0,220.0,234.0
3050,19.0,16.0,15.0,16.0,14.0,13.0,11.0
3051,5.0,7.0,8.0,6.0,9.0,8.0,7.0
3052,17.0,18.0,16.0,13.0,15.0,19.0,23.0
3053,51.0,45.0,48.0,52.0,55.0,64.0,57.0
3054,46.0,52.0,50.0,54.0,56.0,58.0,79.0
3401,108.0,131.0,129.0,167.0,178.0,183.0,191.0
3403,267.0,269.0,270.0,263.0,237.0,231.0,249.0
3405,173.0,189.0,200.0,197.0,211.0,203.0,192.0
3407,251.0,241.0,273.0,300.0,300.0,341.0,336.0
3411,222.0,243.0,240.0,235.0,235.0,230.0,215.0
3412,35.0,35.0,36.0,33.0,32.0,18.0,32.0
3413,148.0,162.0,156.0,150.0,169.0,161.0,169.0
3414,49.0,54.0,58.0,55.0,49.0,65.0,65.0
3415,41.0,46.0,46.0,52.0,54.0,49.0,74.0
3416,76.0,71.0,64.0,71.0,80.0,76.0,73.0
3417,35.0,28.0,35.0,37.0,40.0,44.0,42.0
3418,86.0,69.0,69.0,82.0,82.0,72.0,73.0
3419,46.0,41.0,46.0,44.0,46.0,49.0,48.0
3420,133.0,133.0,130.0,133.0,133.0,134.0,139.0
3421,66.0,70.0,65.0,61.0,67.0,69.0,58.0
3422,32.0,36.0,29.0,34.0,30.0,28.0,36.0
3423,18.0,17.0,16.0,15.0,15.0,12.0,10.0
3424,12.0,12.0,14.0,17.0,17.0,19.0,15.0
3425,10.0,9.0,7.0,7.0,8.0,8.0,10.0
3426,13.0,13.0,14.0,13.0,12.0,7.0,8.0
3427,56.0,62.0,57.0,74.0,61.0,67.0,73.0
3428,18.0,13.0,20.0,10.0,17.0,15.0,19.0
3429,12.0,16.0,18.0,14.0,13.0,15.0,13.0
3430,14.0,13.0,13.0,11.0,13.0,12.0,13.0
3431,11.0,15.0,18.0,13.0,9.0,10.0,15.0
3432,9.0,8.0,6.0,6.0,8.0,9.0,9.0
3433,11.0,9.0,9.0,10.0,13.0,13.0,14.0
3434,13.0,19.0,17.0,13.0,14.0,15.0,12.0
3435,19.0,19.0,23.0,26.0,24.0,32.0,35.0
3436,20.0,26.0,29.0,28.0,27.0,42.0,38.0
3437,48.0,45.0,50.0,53.0,64.0,72.0,63.0
3438,12.0,14.0,12.0,12.0,14.0,11.0,14.0
3439,48.0,57.0,46.0,46.0,53.0,65.0,59.0
3440,39.0,40.0,44.0,46.0,44.0,42.0,50.0
