komnr,2016,2017,2018,2019,2020,2021
4615,74.0,60.0,54.0,67.0,52.0,84.0
1853,,,,54.0,13.0,26.0
1881.0,17.0,21.0,66.0,29.0,10.0,7.0
5025,147.0,161.0,201.0,182.0,162.0,114.0
0301,665.0,520.0,521.0,4239.0,5891.0,5859.0
5038,,,,1076.0,565.0,2172.0
4223,,,189.0,243.0,173.0,193.0
4219,129.0,184.0,252.0,328.0,360.0,737.0
5420,131.0,136.0,179.0,133.0,180.0,177.0
1127,422.0,383.0,341.0,480.0,496.0,577.0
5035,,,43.0,501.0,932.0,231.0
5424,,,,,64.0,33.0
5032,86.0,109.0,83.0,135.0,128.0,62.0
4646,58.0,34.0,32.0,30.0,55.0,76.0
3021,179.0,206.0,265.0,311.0,259.0,208.0
5036,,,,,,
3440,296.0,204.0,260.0,368.0,421.0,402.0
4636,10.0,0.0,6.0,2.0,0.0,3.0
4651,,,,,502.0,289.0
3801,381.0,213.0,325.0,373.0,344.0,285.0
5433,14.0,26.0,31.0,68.0,94.0,63.0
4634,32.0,23.0,24.0,12.0,29.0,23.0
3022,,,818.0,1121.0,794.0,647.0
5028,289.0,199.0,278.0,605.0,592.0,573.0
4639,18.0,18.0,18.0,82.0,60.0,24.0
4629,0.0,0.0,0.0,0.0,1.0,0.0
5020,15.0,23.0,23.0,16.0,22.0,48.0
5059,,,,,,3.0
1149,2339.0,2631.0,3030.0,3818.0,4531.0,4645.0
4633,,,,,5.0,8.0
4204,,,,,1737.0,2326.0
4216,,17.0,307.0,692.0,445.0,459.0
3046,,,,,30.0,20.0
5415,,,69.0,60.0,77.0,84.0
3823,,,,,,15.0
3029,0.0,0.0,0.0,135.0,128.0,276.0
5047,,,,,,
9990.0,,,,,31.0,54.0
3807,,,,,2371.0,1840.0
3411,,,,,276.0,711.0
5402,1749.0,1911.0,2116.0,2053.0,2350.0,2161.0
3448,,,,269.0,372.0,287.0
3420,,,,,927.0,876.0
3820,,,,,26.0,27.0
5434,,,97.0,64.0,45.0,100.0
3053,56.0,80.0,92.0,123.0,389.0,527.0
3412,223.0,298.0,389.0,452.0,399.0,294.0
1144,,,,,,
3401,,,,,945.0,1867.0
1145,11.0,8.0,20.0,26.0,20.0,18.0
1520,,,,,,271.0
3013,,,,,25.0,55.0
1577,,,,,148.0,179.0
4218,9.0,15.0,22.0,38.0,23.0,21.0
3422,,,,,23.0,46.0
3015,,,,,37.0,38.0
4602,,,,,1005.0,1137.0
1119,,,,,530.0,567.0
4638,281.0,327.0,256.0,302.0,248.0,192.0
4215,44.0,118.0,157.0,211.0,247.0,651.0
3450,,,44.0,35.0,52.0,83.0
3416,234.0,209.0,222.0,275.0,120.0,276.0
5418,,,,,139.0,11.0
4628,0.0,0.0,0.0,0.0,0.0,148.0
4619,5.0,3.0,10.0,29.0,56.0,32.0
1833,,,,,145.0,319.0
3441,,,,336.0,336.0,336.0
1804,977.0,1126.0,1790.0,1886.0,1347.0,1275.0
3418,,,,220.0,153.0,216.0
5044,,,,2.0,2.0,10.0
5052,,,,,,0.0
4650,352.0,395.0,377.0,412.0,453.0,439.0
1108,,,,,2716.0,2819.0
3036,45.0,68.0,128.0,84.0,60.0,124.0
3446,676.0,611.0,715.0,544.0,433.0,386.0
1133,16.0,9.0,15.0,49.0,38.0,39.0
3027,281.0,162.0,286.0,206.0,338.0,391.0
1517,,,41.0,37.0,84.0,109.0
3439,,,142.0,252.0,166.0,128.0
4616,72.0,144.0,206.0,307.0,343.0,458.0
5034,,,,,13.0,27.0
5423,83.0,148.0,106.0,138.0,132.0,143.0
3428,248.0,302.0,208.0,235.0,181.0,130.0
3815,349.0,263.0,401.0,346.0,409.0,299.0
5412,,,,,84.0,51.0
3014,,,,,878.0,1617.0
3003,565.0,754.0,807.0,829.0,1171.0,931.0
3443,189.0,198.0,415.0,393.0,617.0,718.0
3045,64.0,61.0,50.0,28.0,96.0,115.0
3419,,,,120.0,80.0,57.0
1121,447.0,586.0,584.0,698.0,686.0,892.0
4627,422.0,271.0,268.0,446.0,505.0,439.0
1124,,,,,812.0,915.0
3804,,,,,,1420.0
3430,62.0,56.0,59.0,36.0,32.0,35.0
3454,0.0,2.0,11.0,17.0,37.0,24.0
4601,,,,,17770.0,18322.0
1103,,,,,6922.0,7246.0
1868,,122.0,172.0,99.0,172.0,66.0
1106,,,,1387.0,989.0,701.0
3020,,,,,766.0,1248.0
1146,,,,,191.0,137.0
1547,,,46.0,100.0,104.0,132.0
1528,128.0,105.0,158.0,154.0,164.0,240.0
4205,,,,,855.0,1306.0
1851,,,,,144.0,124.0
4207,26.0,51.0,86.0,48.0,74.0,108.0
3004,1346.0,2792.0,3506.0,3198.0,3011.0,2543.0
3806,,,,524.0,803.0,834.0
5411,413.0,565.0,801.0,697.0,1031.0,855.0
4637,,21.0,93.0,94.0,125.0,182.0
5007,,,,,1183.0,1313.0
1870,177.0,188.0,364.0,510.0,437.0,280.0
1579,,,,,105.0,483.0
3023,237.0,220.0,235.0,172.0,195.0,196.0
3025,,,,,484.0,1021.0
5058,,39.0,83.0,139.0,180.0,330.0
4621,,,,,1408.0,620.0
5436,,,,,55.0,76.0
3816,899.0,1021.0,1092.0,1302.0,1272.0,1277.0
3415,6.0,2.0,6.0,66.0,141.0,227.0
1824,,,,,620.0,1087.0
3814,262.0,61.0,191.0,226.0,114.0,435.0
4631,,,,,227.0,372.0
3041,,,,,215.0,188.0
5006,,,,,192.0,250.0
3442,,,229.0,379.0,857.0,456.0
3421,,,,,79.0,62.0
3024,,,,4017.0,4053.0,3148.0
3414,,,,,126.0,137.0
5435,,,,119.0,187.0,272.0
4641,,,,,,51.0
5403,,1124.0,1086.0,1548.0,1805.0,2305.0
3424,,,,35.0,36.0,24.0
5056,,,,,180.0,116.0
1840,,,,,282.0,414.0
5426,354.0,321.0,322.0,316.0,248.0,431.0
3001,,,275.0,249.0,276.0,151.0
5014,,79.0,94.0,142.0,125.0,89.0
1505,739.0,1095.0,1383.0,1747.0,1407.0,1455.0
1160,,,,26.0,72.0,120.0
3805,,,,,1137.0,876.0
3413,92.0,124.0,134.0,246.0,258.0,148.0
1135,359.0,413.0,548.0,513.0,158.0,885.0
4617,,,748.0,797.0,812.0,852.0
1111,310.0,251.0,188.0,215.0,212.0,246.0
1578,,,,,,34.0
1845,6.0,32.0,20.0,13.0,,
4457.0,0.0,0.0,0.0,0.0,0.0,0.0
3049,1407.0,1210.0,1353.0,1177.0,1367.0,1545.0
5430,128.0,69.0,99.0,202.0,165.0,167.0
3002,,,,,1662.0,1638.0
1839,,,28.0,42.0,39.0,76.0
3048,566.0,684.0,479.0,604.0,434.0,539.0
1576,,,156.0,151.0,77.0,123.0
3825,117.0,,150.0,168.0,232.0,389.0
1573,,,,93.0,109.0,83.0
