komnr,Befolkning 2020,2012,2013,2014,2015,2016,2017,2018,2019,2020
1828,1761,1158384.0,958668.0,0.0,248657.0,524027.0,403533.0,142329.0,1176153,1649217.0
1832,4454,160635.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1833,26184,4650675.0,3070754.0,2883059.0,5210218.0,3198805.0,4993821.0,1580849.0,3000013,2452527.0
1834,1890,,64533.0,379944.0,523653.0,317375.0,498360.0,43615.0,394910,696868.0
1835,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54151,0.0
1836,1213,0.0,0.0,413914.73,424917.3,0.0,0.0,1153653.0,149319,266415.0
1837,6288,3087548.0,4437186.0,3950833.0,2175591.0,1661214.0,1365866.0,2041000.0,2469478,446417.0
1838,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1839,1017,0.0,0.0,0.0,266028.15,2003749.0,2146115.0,480582.0,0,0.0
1840,4671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1841,9739,5327057.0,2798857.0,6412782.0,3690246.0,8000000.0,11500000.0,8613085.0,7482776,3645366.0
1845,1926,351215.0,968366.0,750910.0,0.0,140165.0,0.0,0.0,0,0.0
1848,2608,0.0,0.0,0.0,523287.0,1932070.0,3042430.0,3934342.0,2711461,5425856.0
1851,2034,4109681.44,3659278.38,4134925.98,6299384.7700000005,3133769.0,2912364.0,2143000.0,1626251,968219.0
1853,1348,,,,3642093.0,4814763.0,178511.0,148840.0,217065,0.0
1856,498,0.0,0.0,75562.5,76785.08,221569.0,2877.0,0.0,214221,1060962.0
1857,728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87180,0.0
1859,1272,113731.49,0.0,0.0,23000.0,0.0,0.0,614715.0,280185,0.0
1860,11433,3620594.0,3517788.0,3456272.0,2649526.0,4086481.0,3784708.0,1804861.0,2858577,2414683.0
1865,9608,528463.0,538026.0,2466720.0,3697343.0,3000000.0,3200000.0,13749118.0,7387491,13675276.0
1866,8061,58247.0,362604.0,709980.0,0.0,373258.0,1470774.0,2988155.0,2754231,12474512.01
1867,2569,0.0,0.0,0.0,0.0,0.0,1729058.0,639448.0,364056,0.0
1868,4410,0.0,0.0,0.0,0.0,0.0,175629.0,0.0,444802,909783.0
1870,10566,0.0,0.0,0.0,0.0,0.0,300820.0,546400.0,0,0.0
1871,4663,2518000.0,615000.0,0.0,0.0,0.0,0.0,0.0,431965,0.0
1874,1015,1474988.0,2676709.0,2788915.0,2665821.0,3411024.0,8453043.0,7060788.0,9367129,10189610.0
1875,2766,1257116.1,1229105.77,205996.18,381163.0,338223.0,1872313.0,1864664.0,1378459,11168882.0
3001,31373,8613604.0,17307262.0,16071666.0,19465437.0,15036495.0,8365601.0,10467274.0,3319010,18384483.0
3002,49273,18060803.0,9916620.0,8998773.0,6018689.0,7897121.0,6591678.0,3776511.0,4604806,4287747.0
3003,56732,3308900.0,2400000.0,153800.0,176000.0,1424221.0,6503944.0,1399513.0,762085,11637957.0
3004,82385,1361089.0,4545360.0,6464985.0,6509088.0,10036107.0,11273375.0,10515278.0,13433786,25456050.0
3005,101386,6395707.81,3921523.32,5895543.85,563528.1699999999,2843227.0,363456.0,524424.0,9761581,13088000.0
3006,27723,2854000.0,2493000.0,2873000.0,3538000.0,574499.0,2333139.0,5869335.0,6995974,5892215.0
3007,30641,0.0,0.0,0.0,74485.0,0.0,0.0,159030.0,0,0.0
3011,4668,932507.0,711269.0,2297627.0,4437998.0,1831402.0,4015170.0,752090.0,3589563,102429.0
