komnr,2015,2016,2017,2018,2019,2020,2021
3016,69.0,65.0,65.0,65.0,65.0,62.0,58.0
3017,56.0,56.0,56.0,55.0,57.0,56.0,56.0
3018,25.0,25.0,25.0,21.0,25.7,25.0,17.0
3019,104.0,97.0,103.0,108.0,107.1,107.0,113.0
3020,431.0,422.0,424.0,428.0,427.0,410.0,406.0
3021,128.0,136.0,161.0,156.0,150.0,132.0,132.0
3022,101.0,95.0,136.0,136.0,137.0,137.0,137.0
3023,122.0,124.0,122.0,122.0,122.0,122.0,120.0
3024,969.0,987.0,959.0,950.0,918.0,885.0,925.0
3025,521.0,501.0,572.0,575.0,523.0,509.0,630.0
3026,167.0,165.0,161.5,164.7,161.8,155.0,150.0
3027,83.0,83.0,101.0,90.0,87.0,85.0,82.0
3028,55.0,57.0,66.3,64.0,63.0,64.0,67.0
3029,221.0,221.0,221.0,221.0,243.0,219.0,233.0
3030,466.0,461.0,484.0,468.0,468.0,439.0,423.0
3031,97.0,108.0,109.0,110.0,110.0,110.0,122.0
3032,41.0,37.0,35.0,38.0,35.0,47.0,35.0
3033,179.0,189.0,206.0,210.0,184.0,183.0,201.0
3034,123.0,127.0,122.0,118.0,118.0,116.0,117.0
3035,150.0,161.0,169.0,184.0,183.0,191.0,180.0
3036,73.0,74.0,73.0,73.0,71.0,68.0,67.0
3037,32.0,30.0,30.0,44.0,32.0,30.0,30.0
3038,40.0,41.0,42.0,38.0,38.0,38.0,38.0
3039,10.0,14.0,14.3,14.3,15.3,15.3,15.3
3040,17.0,11.0,12.1,14.1,14.1,14.1,14.1
3041,32.0,33.0,38.5,34.5,34.5,33.5,33.5
3042,23.0,23.0,23.8,23.8,23.8,23.8,23.8
3043,52.0,57.0,47.8,43.8,52.8,50.8,56.8
3044,42.0,42.0,43.5,43.5,43.5,42.5,42.5
3045,40.0,48.0,48.0,48.0,48.0,48.0,41.0
3046,26.0,26.0,25.0,25.0,25.0,24.0,24.0
3047,94.0,94.0,88.0,112.0,112.0,112.0,112.0
3048,94.0,139.0,140.0,156.0,148.0,145.0,155.0
3049,115.0,112.0,114.0,116.0,117.0,163.0,130.0
3050,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3051,23.0,22.0,22.0,22.0,22.0,23.0,17.0
3052,34.0,34.0,34.0,34.0,39.0,39.0,39.0
3053,63.0,59.0,57.0,56.0,80.0,82.0,52.0
3054,66.0,61.0,65.0,62.0,54.0,50.0,53.0
3401,153.0,163.0,169.0,176.0,163.0,149.0,157.0
3403,254.0,268.0,262.0,268.0,271.0,268.0,268.0
3405,228.5,219.5,229.0,237.5,227.0,223.0,220.0
3407,169.0,171.0,146.0,146.0,141.0,141.0,157.0
3411,324.5,321.0,336.0,336.0,333.5,334.5,313.0
3412,83.7,85.0,85.0,85.0,83.7,84.7,83.0
3413,153.8,152.0,144.0,144.0,144.8,144.8,141.0
3414,57.0,57.0,57.0,57.0,57.0,57.0,57.0
3415,78.0,78.0,78.0,78.0,62.0,60.0,60.0
3416,61.0,81.0,81.0,71.0,57.0,66.0,66.0
3417,54.0,62.0,62.0,54.0,54.0,55.0,55.0
3418,92.0,92.0,92.0,92.0,92.0,91.0,91.0
3419,48.0,46.0,46.0,48.0,48.0,48.0,47.0
3420,162.0,160.0,163.0,163.0,163.0,163.0,165.0
3421,79.0,79.0,79.0,79.0,77.0,76.0,76.0
3422,61.0,61.0,61.0,61.0,61.0,61.0,61.0
3423,42.0,42.0,41.0,41.0,41.0,41.0,42.0
3424,26.0,24.0,24.0,20.0,20.0,20.0,21.0
3425,22.0,22.0,22.0,22.0,16.0,16.0,16.0
3426,21.0,21.0,21.0,21.0,21.0,21.0,21.0
3427,64.0,60.0,54.0,54.0,50.0,50.0,50.0
3428,33.0,27.0,27.0,27.0,27.0,27.0,27.0
3429,19.0,19.0,19.0,19.0,19.0,19.0,19.0
3430,24.0,28.0,28.0,24.0,24.0,18.0,26.0
3431,49.0,49.0,40.0,40.0,40.0,40.0,40.0
3432,31.0,31.0,32.0,32.0,31.0,31.0,31.0
3433,35.0,35.0,36.0,37.0,37.0,36.0,25.0
3434,41.0,41.0,35.0,35.0,34.0,34.0,34.0
3435,55.0,50.0,45.0,45.0,45.0,45.0,42.0
3436,78.0,78.0,72.0,72.0,72.0,90.0,71.0
3437,66.0,58.0,61.0,61.0,47.0,52.0,51.0
3438,45.0,47.0,47.0,47.0,47.0,47.0,47.0
3439,23.0,24.0,31.0,45.0,45.0,45.0,19.0
3440,40.5,64.5,57.0,59.5,62.0,64.0,67.0
3441,75.0,71.0,65.0,69.0,69.0,63.0,58.0
3442,92.0,85.0,85.0,85.0,87.0,109.0,109.0
3443,59.0,63.0,53.0,53.0,50.0,50.0,50.0
3446,126.0,131.0,124.0,108.0,107.0,106.0,106.0
3447,66.0,66.0,66.0,66.0,52.0,52.0,38.0
3448,91.0,91.0,91.0,91.0,91.0,95.0,95.0
3449,46.0,46.0,44.0,46.0,44.0,44.0,44.0
3450,23.0,23.0,22.0,23.0,23.0,23.0,23.0
3451,57.5,51.5,48.0,50.5,50.5,50.5,53.5
3452,29.5,21.5,20.0,21.5,21.5,21.5,21.5
